,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
61,Norman Wells,75,CA,1562475487,54,65.28,-126.83,288.15,5.7
62,Dikson,0,RU,1562475422,87,73.51,80.55,275.291,7.64
63,Hasaki,75,JP,1562475487,94,35.73,140.83,294.15,12.9
64,Santa Lucia,0,IT,1562475487,83,41.98,12.66,297.04,1.5
65,Lima,90,PE,1562475488,88,-12.06,-77.04,290.15,5.1
66,Bethel,1,US,1562475468,32,60.79,-161.76,307.15,3.86
67,Bluff,77,AU,1562475488,64,-23.58,149.07,294.291,6.2
68,Terryville,1,US,1562475488,83,29.19,-97.07,300.93,3.1
69,Kavieng,96,PG,1562475489,71,-2.57,150.8,301.791,4.05
70,Port Hardy,20,CA,1562475489,82,50.7,-127.42,288.15,2.6
71,Bakchar,74,RU,1562475489,52,57.02,82.07,296.891,5.87
72,Kodiak,1,US,1562475433,83,39.95,-94.76,296.48,2.1
73,Wewak,37,PG,1562475491,76,-3.55,143.63,300.791,4.05
74,Cockburn Town,0,TC,1562475491,81,21.46,-71.14,300.691,9.31
75,Flin Flon,22,CA,1562475482,65,54.77,-101.88,288.091,2.78
76,Arraial do Cabo,19,BR,1562475492,75,-22.97,-42.02,291.491,9.86
77,San Quintin,59,PH,1562475492,70,17.54,120.52,302.891,4.66
78,Port Alfred,81,ZA,1562475492,83,-33.59,26.89,287.59,4.92
79,Nome,1,US,1562475493,100,30.04,-94.42,302.04,1.5
80,Arica,90,CL,1562475493,77,-18.48,-70.32,289.15,3.1
81,Dalbandin,0,PK,1562475493,6,28.9,64.41,310.691,2.42
82,Manaure,54,CO,1562475494,82,11.78,-72.45,299.091,11.41
83,Kamaishi,40,JP,1562475494,57,39.28,141.86,298.15,4.6
84,Churapcha,59,RU,1562475494,40,62.0,132.43,296.691,0.34
85,Ahipara,100,NZ,1562475495,62,-35.17,173.16,286.991,4.15
86,Vila,0,IT,1562475495,93,45.18,8.4,297.59,1.5
87,Kapaa,75,US,1562475430,74,22.08,-159.32,301.15,3.6
88,Pisco,90,PE,1562475496,88,-13.71,-76.2,290.15,2.6
89,Rawson,78,AR,1562475496,62,-43.3,-65.11,281.091,4.33
90,Nouadhibou,89,MR,1562475496,82,20.93,-17.03,293.15,9.3
91,Angoche,1,MZ,1562475497,79,-16.23,39.91,294.191,2.45
92,Marienburg,0,DE,1562475497,81,52.12,9.98,288.15,3.6
93,North Battleford,1,CA,1562475497,77,52.78,-108.3,292.15,4.6
94,Kavaratti,40,IN,1562475497,79,10.57,72.64,302.15,4.1
95,Mayo,20,CA,1562475499,33,63.59,-135.9,298.15,3.6
96,Ribeira Grande,90,PT,1562475499,86,38.52,-28.7,294.991,7.6
97,College,1,US,1562475420,32,64.86,-147.8,302.15,2.6
98,Valparaiso,40,US,1562475458,63,41.47,-87.06,294.15,3.04
99,Leshukonskoye,100,RU,1562475500,82,64.9,45.76,291.091,1.87
100,Cabo San Lucas,75,MX,1562475466,21,22.89,-109.91,303.15,9.3
101,Kaitangata,83,NZ,1562475500,69,-46.28,169.85,282.59,6.71
102,Upington,0,ZA,1562475500,51,-28.46,21.24,277.15,1.5
103,Katherine,2,AU,1562475501,20,-14.47,132.26,303.15,4.1
104,Touros,20,BR,1562475501,94,-5.2,-35.46,295.15,1.0
105,Trairi,30,BR,1562475501,93,-3.28,-39.27,294.491,1.76
106,Kununurra,24,AU,1562475502,19,-15.77,128.74,303.15,6.7
107,Necochea,0,AR,1562475502,85,-38.55,-58.74,275.93,2.24
108,Hobart,0,AU,1562475478,66,-42.88,147.33,287.59,2.1
109,Busselton,90,AU,1562475418,64,-33.64,115.35,290.93,8.77
110,Puerto Carreno,100,CO,1562475503,95,6.19,-67.49,296.891,0.48
111,Egvekinot,1,RU,1562475503,58,66.32,-179.17,287.791,3.56
112,Cape Town,20,ZA,1562475502,76,-33.93,18.42,288.71,2.6
113,Chunoyar,30,RU,1562475504,35,57.45,97.32,298.691,3.87
114,Oranjemund,0,ZA,1562475504,85,-28.55,16.43,286.591,4.54
115,Kudahuvadhoo,94,MV,1562475504,64,2.67,72.89,302.391,2.05
116,Safranbolu,0,TR,1562475505,39,41.25,32.69,297.191,0.73
117,Warrnambool,100,AU,1562475506,74,-38.38,142.48,287.59,1.79
118,Vaitape,18,PF,1562475507,83,-16.52,-151.75,298.591,10.03
119,Tigil,100,RU,1562475507,92,57.8,158.67,282.391,2.05
120,Tuktoyaktuk,90,CA,1562475507,86,69.44,-133.03,277.15,7.2
121,Yellowknife,75,CA,1562475508,87,62.45,-114.38,288.15,5.7
122,North Bend,1,US,1562475508,87,43.41,-124.22,289.26,2.6
123,Homer,1,US,1562475459,77,59.64,-151.54,295.93,2.1
124,Namibe,0,AO,1562475508,86,-15.19,12.15,293.491,2.02
125,Luderitz,0,NA,1562475509,81,-26.65,15.16,284.15,4.1
126,Saint-Georges,0,CA,1562475509,75,46.12,-70.67,286.48,0.59
127,Villanueva de la Serena,100,ES,1562475510,79,38.97,-5.8,289.82,2.24
128,Saldanha,0,PT,1562475483,84,41.42,-6.55,289.091,0.59
129,Yabrud,0,SY,1562475510,64,33.97,36.66,296.15,5.1
130,Kalamare,0,BW,1562475510,17,-22.93,26.57,284.091,2.06
131,Thompson,40,CA,1562475511,55,55.74,-97.86,290.15,1.03
132,Zhezkazgan,0,KZ,1562475511,42,47.8,67.71,300.15,4.0
133,Puerto Vallarta,75,MX,1562475300,42,20.61,-105.23,302.15,1.5
134,Castro,0,CL,1562475511,87,-42.48,-73.76,280.15,4.6
135,Kirovskiy,0,RU,1562475512,65,45.09,133.51,299.991,1.83
136,Myitkyina,100,MM,1562475512,96,25.38,97.4,296.791,0.12
137,Fallon,1,US,1562475512,64,46.84,-105.12,294.15,4.1
138,Lebu,90,ET,1562475513,87,8.96,38.73,286.15,5.7
139,Severo-Kurilsk,33,RU,1562475444,91,50.68,156.12,280.391,4.24
140,Nanortalik,100,GL,1562475514,69,60.14,-45.24,279.691,0.43
141,Zhigansk,99,RU,1562475514,40,66.77,123.37,292.091,2.73
142,Javanrud,0,IR,1562475514,19,34.8,46.49,295.15,1.0
143,Brae,100,GB,1562475515,93,60.4,-1.35,281.15,4.6
144,Iquitos,75,PE,1562475281,94,-3.75,-73.25,296.15,1.5
145,Quatre Cocos,40,MU,1562475515,78,-20.21,57.76,297.04,3.1
146,Broken Hill,40,AU,1562475515,56,-31.97,141.45,294.15,4.1
147,Sakaiminato,75,JP,1562475516,65,35.55,133.23,299.15,4.1
148,Nishihara,75,JP,1562475516,94,35.74,139.53,295.93,4.6
149,Salalah,75,OM,1562475516,83,17.01,54.1,302.15,2.6
150,Iraga,100,PH,1562475517,68,17.7,121.65,305.291,1.44
151,Cotonou,100,BJ,1562475517,91,6.37,2.43,296.691,2.99
152,Moron,79,HT,1562475517,80,18.56,-74.26,299.091,1.4
153,Ko Samui,20,TH,1562475517,56,9.54,99.94,307.15,2.6
154,Aswan,0,EG,1562475518,28,24.09,32.9,300.15,1.0
155,Hay River,75,CA,1562475518,93,60.82,-115.79,287.15,5.1
156,Troitskoye,25,RU,1562475518,29,52.98,84.68,303.791,4.64
157,Rio Gallegos,0,AR,1562475519,86,-51.62,-69.22,275.15,4.1
158,Guerrero Negro,0,MX,1562475519,86,27.97,-114.04,291.191,6.56
159,Ponta do Sol,0,BR,1562475519,76,-20.63,-46.0,278.691,0.46
160,Dalby,20,AU,1562475520,52,-27.18,151.26,293.15,7.7
161,Nanchang,100,CN,1562475520,93,28.68,115.89,297.891,1.2
162,Torbay,90,CA,1562475520,68,47.66,-52.73,291.15,5.7
163,Half Moon Bay,90,US,1562475521,82,37.46,-122.43,290.37,3.45
164,Kamenka,32,MD,1562475521,68,48.03,28.7,293.15,1.34
165,Mehamn,0,NO,1562475521,72,71.03,27.85,282.491,9.74
166,Ormara,14,PK,1562475521,45,25.21,64.64,307.291,2.97
167,Hualmay,55,PE,1562475522,88,-11.1,-77.61,290.291,4.46
168,Saskylakh,100,RU,1562475482,88,71.97,114.09,280.891,2.62
169,Whitehorse,75,CA,1562475523,29,60.72,-135.06,298.15,2.6
170,Ilulissat,75,GL,1562475523,75,69.22,-51.1,279.15,2.1
171,Chimore,0,BO,1562475524,81,-16.98,-65.13,284.091,1.11
172,Ayorou,22,NE,1562475524,34,14.73,0.92,306.091,2.88
173,Sibu,75,MY,1562475525,62,2.29,111.83,305.15,2.6
174,Novo Aripuana,100,BR,1562475525,99,-5.12,-60.38,294.991,1.39
175,Leningradskiy,15,RU,1562475525,64,69.38,178.42,284.991,0.37
176,Gamba,86,CN,1562475525,32,28.28,88.52,288.191,3.07
177,Victoria,75,BN,1562475526,70,5.28,115.24,304.82,1.5
178,Puerto Escondido,13,MX,1562475526,87,15.86,-97.07,297.291,1.97
179,Hami,0,CN,1562475526,27,42.84,93.51,302.091,2.84
180,Jacareacanga,16,BR,1562475527,98,-6.22,-57.76,294.491,1.03
181,Carutapera,47,BR,1562475527,92,-1.2,-46.02,297.791,3.22
182,Bonavista,100,CA,1562475527,84,48.65,-53.11,286.48,2.24
183,Avarua,33,CK,1562475528,64,-21.21,-159.78,295.15,5.1
184,Morondava,19,MG,1562475524,75,-20.3,44.28,294.591,2.57
185,Charters Towers,93,AU,1562475528,75,-20.07,146.27,294.691,4.36
186,East London,20,ZA,1562475415,67,-33.02,27.91,289.15,10.3
187,Ahuimanu,1,US,1562475459,78,21.44,-157.84,302.15,5.1
188,Osoyoos,75,CA,1562475529,68,49.03,-119.47,292.15,3.6
189,Luwuk,13,ID,1562475529,59,-0.95,122.79,295.291,2.62
190,Tazovskiy,24,RU,1562475530,56,67.47,78.7,284.991,6.88
191,Maragogi,12,BR,1562475530,96,-9.01,-35.22,293.891,1.28
192,Grahamstown,81,ZA,1562475530,83,-33.31,26.53,287.59,4.92
193,Upernavik,75,GL,1562475531,70,72.79,-56.15,279.891,2.56
194,Kanker,99,IN,1562475531,76,20.27,81.49,299.791,6.03
195,Toora-Khem,7,RU,1562475531,28,52.47,96.11,299.491,1.79
196,Caravelas,100,BR,1562475532,82,-17.73,-39.27,294.391,9.13
197,Vedasandur,99,IN,1562475442,29,10.53,77.95,307.291,7.9
198,Leeton,90,AU,1562475532,82,-34.55,146.4,287.15,5.1
199,Cherskiy,69,RU,1562475533,27,68.75,161.3,298.991,7.27
200,Aklavik,75,CA,1562475533,66,68.22,-135.01,283.15,6.2
201,Mitsamiouli,12,KM,1562475533,81,-11.38,43.28,298.691,8.0
202,Atar,24,MR,1562475534,38,20.52,-13.05,300.691,3.44
203,Loukhi,99,RU,1562475534,91,66.08,33.04,282.691,5.85
204,Georgetown,20,GY,1562475331,100,6.8,-58.16,296.15,2.1
205,Fuerte Olimpo,0,BR,1562475534,61,-21.04,-57.87,278.091,1.8
206,Houma,22,CN,1562475535,20,35.63,111.36,306.691,3.63
207,Markova,75,RU,1562475535,72,52.21,104.21,293.15,1.0
208,Rhondda,90,GB,1562475535,67,51.66,-3.45,289.26,4.1
209,Saint-Philippe,40,CA,1562475427,60,45.36,-73.48,293.15,3.1
210,Allapalli,100,IN,1562475536,83,19.43,80.06,300.191,3.94
211,Wageningen,75,NL,1562475536,100,51.98,5.66,287.59,1.5
212,Iqaluit,90,CA,1562475537,93,63.75,-68.52,278.15,1.0
213,Richards Bay,0,ZA,1562475537,35,-28.77,32.06,294.391,3.13
214,Hofn,0,IS,1562475537,73,64.25,-15.21,276.391,5.6
215,Jumla,24,NP,1562475537,45,29.28,82.18,296.591,2.98
216,Carnarvon,64,ZA,1562475246,93,-30.97,22.13,280.691,6.44
217,Kargasok,92,RU,1562475538,70,59.06,80.87,295.191,4.17
218,Flinders,15,AU,1562475538,52,-34.58,150.85,293.15,2.6
219,Yeppoon,40,AU,1562475538,60,-23.13,150.74,297.15,5.1
220,Souillac,90,FR,1562475539,93,45.6,-0.6,293.15,4.6
221,Ambilobe,29,MG,1562475539,58,-13.19,49.05,300.191,1.72
222,Yulara,0,AU,1562475539,28,-25.24,130.99,295.15,3.6
223,Bellmead,1,US,1562475540,69,31.59,-97.11,302.04,2.1
224,Skibbereen,75,IE,1562475540,93,51.55,-9.27,287.15,3.6
225,Saint Leonard,1,US,1562475541,94,38.47,-76.51,298.71,0.52
226,Moyale,88,ET,1562475541,79,3.52,39.05,293.591,4.19
227,Provideniya,18,RU,1562475541,42,64.42,-173.23,292.791,2.55
228,Lokosovo,100,RU,1562475542,58,61.13,74.84,292.291,0.62
229,Tchollire,100,CM,1562475542,91,8.4,14.17,296.391,1.61
230,Tecoanapa,75,MX,1562475542,78,16.99,-99.26,300.15,5.1
231,Qaqortoq,91,GL,1562475543,71,60.72,-46.03,285.15,0.5
232,Tall Kayf,0,TR,1562475543,18,37.08,41.07,306.15,5.1
233,Margate,0,AU,1562475543,66,-43.03,147.26,287.59,2.1
234,Araouane,0,ML,1562475543,31,18.9,-3.53,306.091,2.97
235,Terrace,20,CA,1562475544,47,54.52,-128.61,297.15,4.6
236,Urengoy,94,RU,1562475544,41,65.96,78.37,293.391,4.57
237,Kalmunai,100,LK,1562475545,30,7.42,81.82,309.491,3.27
238,Tiksi,0,RU,1562475502,75,71.64,128.87,278.091,3.23
239,Chapais,1,CA,1562475545,62,49.78,-74.86,285.15,3.6
240,Laguna,75,BZ,1562475546,94,16.17,-88.94,298.15,3.1
241,Tyukalinsk,54,RU,1562475546,72,55.87,72.2,291.491,7.49
242,Talcahuano,90,CL,1562475320,71,-36.72,-73.12,287.15,7.7
243,Tiarei,75,PF,1562475279,74,-17.53,-149.33,300.15,3.1
244,Esperance,0,AU,1562475547,67,-33.86,121.89,289.15,5.7
245,Veraval,67,FR,1562475547,93,49.65,0.71,288.71,1.0
246,Christchurch,0,NZ,1562475547,57,-43.53,172.64,283.15,1.5
247,Ligayan,2,PH,1562475548,76,4.65,119.47,301.591,4.6
248,Wilmington,92,US,1562475366,94,39.75,-75.55,296.48,1.5
249,Belle Fourche,1,US,1562475548,77,44.67,-103.85,292.59,5.87
250,Vila Franca do Campo,75,PT,1562475489,82,37.72,-25.43,293.15,2.6
251,Lasa,20,CY,1562475549,74,34.92,32.53,300.15,1.5
252,Saint George,0,GR,1562475549,60,39.45,22.34,300.93,1.5
253,Dicabisagan,72,PH,1562475549,58,17.08,122.42,306.391,0.06
254,Marsh Harbour,0,BS,1562475529,75,26.54,-77.06,301.391,6.09
255,Vestmanna,52,FO,1562475550,81,62.16,-7.17,281.15,6.2
256,Miandrivazo,0,MG,1562475550,53,-19.53,45.46,297.491,1.12
257,Gazojak,0,TM,1562475550,13,41.19,61.4,311.991,3.09
258,Tilichiki,100,RU,1562475551,78,60.47,166.1,284.191,1.75
259,Clyde River,20,CA,1562475551,100,70.47,-68.59,274.15,1.0
260,Ulladulla,0,AU,1562475551,52,-35.36,150.48,293.15,2.6
261,Bilma,0,NE,1562475552,13,18.69,12.92,304.191,6.68
262,Tasiilaq,0,GL,1562475552,66,65.61,-37.64,273.15,3.6
263,Karratha,0,AU,1562475552,31,-20.74,116.85,300.791,7.65
264,Eyl,91,SO,1562475553,47,7.98,49.82,303.091,12.84
265,Excelsior Springs,1,US,1562475553,88,39.34,-94.23,298.15,2.8
266,Sept-Iles,40,CA,1562475303,55,50.2,-66.38,289.15,6.7
267,Belyy Yar,0,RU,1562475554,53,53.6,91.39,298.15,2.0
268,Pevek,0,RU,1562475554,59,69.7,170.27,283.691,6.36
269,Shimoda,75,JP,1562475554,88,34.7,138.93,300.15,10.3
270,Shenjiamen,100,CN,1562475554,82,29.96,122.3,299.991,4.25
271,Mersing,17,MY,1562475555,44,2.43,103.84,307.891,1.38
272,Isangel,75,VU,1562475555,83,-19.55,169.27,298.15,5.1
273,Fairbanks,1,US,1562475526,32,64.84,-147.72,301.15,2.6
274,Manaus,75,BR,1562475556,94,-3.13,-59.98,299.15,1.0
275,Sheoganj,60,IN,1562475556,54,25.14,73.07,305.791,6.09
276,Ostrovnoy,0,RU,1562475556,77,68.05,39.51,281.191,8.08
277,Kirakira,100,SB,1562475557,85,-10.46,161.92,300.291,7.56
278,Alofi,45,NU,1562475557,73,-19.06,-169.92,298.15,5.7
279,Mindelo,20,PT,1562475557,100,41.31,-8.72,290.37,2.07
280,Ponta Delgada,75,PT,1562475558,82,37.73,-25.67,293.15,2.6
281,Verkhnyaya Inta,55,RU,1562475558,45,65.99,60.32,289.591,5.61
282,Kaeo,94,NZ,1562475558,76,-35.1,173.78,285.93,1.34
283,Lahaina,40,US,1562475559,58,20.87,-156.68,302.15,7.7
284,Portland,1,US,1562475393,88,43.66,-70.25,295.37,4.1
285,Mus,48,FR,1562475559,94,43.74,4.2,298.15,1.5
286,Fukue,75,JP,1562475559,78,35.03,136.69,307.04,4.1
287,Kangaatsiaq,66,GL,1562475560,74,68.31,-53.46,280.291,1.59
288,Agirish,100,RU,1562475560,95,61.92,63.02,283.891,4.99
289,Cayenne,90,GF,1562475560,94,4.94,-52.33,296.15,1.32
290,Geraldton,20,CA,1562475561,76,49.72,-86.95,284.15,1.0
291,Minggang,0,CN,1562475561,34,32.45,114.03,305.091,2.84
292,Constitucion,96,MX,1562475562,57,23.99,-104.67,294.82,5.81
293,Andros Town,75,BS,1562475562,88,24.73,-77.79,298.15,3.6
294,Yarkovo,0,RU,1562475562,61,54.81,82.6,298.15,6.0
295,Miles City,1,US,1562475415,60,46.41,-105.84,295.15,5.1
296,Shache,4,CN,1562475563,14,38.42,77.24,306.691,2.05
297,Lewiston,1,US,1562475523,88,44.1,-70.21,295.37,4.1
298,Sitka,40,US,1562475563,86,37.17,-99.65,295.37,0.45
299,Cahors,3,FR,1562475564,92,44.45,1.44,291.48,3.07
300,Liverpool,40,GB,1562475344,71,53.41,-2.98,284.26,2.6
301,Guaraniacu,0,BR,1562475564,83,-25.1,-52.88,273.691,2.4
302,Synya,69,RU,1562475564,44,65.37,58.04,289.891,4.85
303,Bilibino,62,RU,1562475565,45,68.06,166.44,292.191,5.19
304,Okhotsk,19,RU,1562475440,59,59.36,143.24,289.791,3.76
305,Charlestown,1,US,1562475487,94,41.38,-71.64,296.48,1.5
306,Muros,90,ES,1562475565,93,42.77,-9.06,290.93,5.35
307,Narsaq,91,GL,1562475566,71,60.91,-46.05,285.15,0.5
308,Kalnibolotskaya,2,RU,1562475566,47,46.01,40.45,298.891,1.07
309,Tual,71,ID,1562475566,81,-5.67,132.75,299.191,9.15
310,Haines Junction,0,CA,1562475567,48,60.75,-137.51,290.291,2.21
311,Sankeshwar,75,IN,1562475567,88,16.27,74.48,297.15,6.2
312,Sulingen,40,DE,1562475567,76,52.68,8.8,287.04,4.6
313,Ketchikan,1,US,1562475568,68,55.34,-131.65,294.15,5.7
314,Esperanza,33,AR,1562475372,63,-31.45,-60.93,280.93,1.79
315,Penzance,59,GB,1562475568,93,50.12,-5.53,289.26,2.1
316,Vityazevo,0,RU,1562475568,78,44.99,37.26,297.15,3.0
317,Abu Dhabi,0,AE,1562475288,75,24.47,54.37,306.15,2.6
318,Nikolskoye,40,RU,1562475569,81,59.7,30.79,285.93,1.0
319,Limbang,75,BN,1562475569,88,4.75,115.01,304.82,3.6
320,Poum,0,MK,1562475570,65,41.28,20.71,293.491,0.58
321,Yar-Sale,100,RU,1562475511,45,66.83,70.83,288.191,9.86
322,Makat,50,KZ,1562475570,25,47.65,53.35,303.591,5.91
323,Kasama,7,ZM,1562475570,62,-10.21,31.19,289.191,1.99
324,Puerto Maldonado,13,PE,1562475470,66,-12.59,-69.19,287.491,1.53
325,Middelburg,64,NL,1562475572,72,51.5,3.61,288.71,3.1
326,Valle de Allende,95,MX,1562475573,74,26.94,-105.39,289.991,7.32
327,Kochubey,55,RU,1562475573,43,44.39,46.54,301.791,3.56
328,Paita,0,PE,1562475573,92,-5.09,-81.11,290.791,3.69
329,Port Hedland,0,AU,1562475464,26,-20.31,118.58,302.15,6.7
330,Esil,0,KZ,1562475574,41,51.96,66.41,294.791,2.43
331,Lavrentiya,0,RU,1562475574,28,65.58,-170.99,295.891,2.19
332,Acapulco,75,MX,1562475575,78,16.86,-99.88,300.15,5.1
333,Gumla,95,IN,1562475575,69,23.04,84.54,301.491,5.4
334,Coihaique,40,CL,1562475575,100,-45.58,-72.07,274.15,1.5
335,Broome,6,GB,1562475575,93,52.47,1.45,285.37,1.5
336,Chany,81,RU,1562475576,76,55.31,76.76,290.891,9.23
337,Rome,0,IT,1562475572,83,41.89,12.48,297.04,1.5
338,Salym,88,RU,1562475577,43,60.06,71.48,294.591,4.21
339,Deputatskiy,10,RU,1562475578,41,69.3,139.9,290.991,4.85
340,Tautira,75,PF,1562475472,74,-17.73,-149.15,299.15,1.5
341,Nemuro,75,JP,1562475578,87,43.32,145.57,289.15,3.1
342,Anloga,40,GH,1562475503,88,5.79,0.9,299.15,4.6
343,Sorland,49,NO,1562475578,90,67.67,12.69,282.791,3.77
344,Boshnyakovo,82,RU,1562475579,98,49.65,142.17,283.491,8.61
345,Seoul,75,KR,1562475450,37,37.57,126.98,304.15,3.1
346,Lerwick,100,GB,1562475579,93,60.15,-1.15,281.15,3.1
347,Coquimbo,100,CL,1562475280,87,-29.95,-71.34,286.15,2.1
348,Panaba,0,MX,1562475580,80,21.28,-88.27,299.291,2.84
349,Kruisfontein,100,ZA,1562475580,79,-34.0,24.73,285.691,11.25
350,Praya,20,ID,1562475580,54,-8.71,116.27,302.15,6.2
351,Treinta y Tres,0,UY,1562475581,88,-33.23,-54.39,274.891,2.36
352,Meulaboh,83,ID,1562475484,77,4.14,96.13,301.191,2.8
353,Wanxian,100,CN,1562475581,63,30.8,108.39,300.991,2.41
354,Lorengau,54,PG,1562475582,79,-2.02,147.27,300.791,3.24
355,Ouadda,86,CF,1562475582,92,8.07,22.4,294.791,1.74
356,Ojinaga,40,US,1562475582,73,29.56,-104.41,297.15,1.5
357,Havre-Saint-Pierre,20,CA,1562475582,48,50.23,-63.6,289.15,6.2
358,Port-Gentil,99,GA,1562475583,86,-0.72,8.78,296.291,6.87
359,Mongo,68,CD,1562475583,84,-5.62,14.6,293.091,2.59
360,Filingue,3,NE,1562475583,37,14.35,3.32,304.791,3.98
361,Rovaniemi,90,FI,1562475584,93,66.5,25.72,285.15,3.6
362,Tomislavgrad,20,BA,1562475584,77,43.71,17.23,294.15,1.5
363,MBour,20,SN,1562475585,83,14.41,-16.97,298.15,3.1
364,High Level,75,CA,1562475585,49,58.52,-117.13,294.15,4.6
365,Kuusamo,90,FI,1562475585,93,65.96,29.19,285.15,2.6
366,Brandon,1,US,1562475585,77,43.59,-96.57,293.15,2.76
367,Sabha,0,LY,1562475586,18,27.03,14.43,300.191,3.34
368,Traverse City,1,US,1562475586,82,44.76,-85.62,292.15,1.5
369,Quesnel,75,CA,1562475586,82,52.98,-122.49,289.15,2.6
370,Concordia,0,AR,1562475587,100,-31.4,-58.02,274.26,2.64
371,Lahuachaca,0,BO,1562475587,46,-17.38,-67.67,277.291,1.58
372,Saint-Pierre,0,FR,1562475587,87,48.95,4.24,289.15,2.6
373,Sao Luis do Quitunde,0,BR,1562475588,94,-9.32,-35.56,295.15,2.1
374,Ylivieska,44,FI,1562475588,88,64.07,24.53,287.04,0.45
